feature,coefficient,odds_ratio
school_level_clean_Middle,0.5917493673154737,1.8071470157398293
meps_poverty_pct,0.32093906314240617,1.3784215816548295
school_level_clean_Other,0.27652191803316695,1.3185358521135868
school_type_clean_Regular school,0.11002491826560704,1.1163058865188848
title_i_binary,0.08354195205024975,1.0871308217030897
direct_certification,0.0035044027335785514,1.0035105503319606
enrollment,-0.0031329698169214144,0.9968719328117498
charter_Yes,-0.006959627740910304,0.9930645343826133
meps_mod_poverty_pct,-0.08216280134057197,0.9211219865946024
school_type_clean_Specialized,-0.08556637696486723,0.9179922074953173
school_level_clean_High,-0.6263863568861544,0.5345198792963762
